Time(s),CH1V
4.000000e-03,2.928267e+00
4.160000e-03,2.898933e+00
4.320000e-03,2.770667e+00
4.480000e-03,2.664800e+00
4.640000e-03,2.588133e+00
4.800000e-03,2.444000e+00
4.960000e-03,2.372000e+00
5.120000e-03,2.270667e+00
5.280000e-03,2.137733e+00
5.440000e-03,1.982400e+00
5.600000e-03,2.128800e+00
5.760000e-03,2.205333e+00
5.920000e-03,2.322400e+00
6.080000e-03,2.419333e+00
6.240000e-03,2.531867e+00
6.400000e-03,2.565733e+00
6.560000e-03,2.676000e+00
6.720000e-03,2.754800e+00
6.880000e-03,2.739067e+00
7.040000e-03,2.759333e+00
7.200000e-03,2.763867e+00
7.360000e-03,2.741333e+00
7.520000e-03,2.691733e+00
7.680000e-03,2.669333e+00
7.840000e-03,2.567867e+00
8.000000e-03,2.495867e+00
8.160000e-03,2.414800e+00
8.320000e-03,2.320133e+00
8.480000e-03,2.194133e+00
8.640000e-03,2.128800e+00
8.800000e-03,1.975600e+00
8.960000e-03,1.876533e+00
9.120000e-03,1.851733e+00
9.280000e-03,1.914800e+00
9.440000e-03,2.022933e+00
9.600000e-03,2.115200e+00
9.760000e-03,2.227867e+00
9.920000e-03,2.288667e+00
1.008000e-02,2.326933e+00
1.024000e-02,2.437333e+00
1.040000e-02,2.484667e+00
1.056000e-02,2.495867e+00
1.072000e-02,2.561200e+00
1.088000e-02,2.561200e+00
1.104000e-02,2.531867e+00
1.120000e-02,2.504933e+00
1.136000e-02,2.421600e+00
1.152000e-02,2.354000e+00
1.168000e-02,2.308933e+00
1.184000e-02,2.185067e+00
1.200000e-02,2.133333e+00
1.216000e-02,1.957600e+00
1.232000e-02,1.914800e+00
1.248000e-02,1.818000e+00
1.264000e-02,1.682800e+00
1.280000e-02,1.784267e+00
1.296000e-02,1.905867e+00
1.312000e-02,1.953067e+00
1.328000e-02,2.016133e+00
1.344000e-02,2.124267e+00
1.360000e-02,2.176000e+00
1.376000e-02,2.223333e+00
1.392000e-02,2.286400e+00
1.408000e-02,2.293200e+00
1.424000e-02,2.360800e+00
1.440000e-02,2.349467e+00
1.456000e-02,2.326933e+00
1.472000e-02,2.315733e+00
1.488000e-02,2.236933e+00
1.504000e-02,2.243600e+00
1.520000e-02,2.162533e+00
1.536000e-02,2.027467e+00
1.552000e-02,1.964400e+00
1.568000e-02,1.899067e+00
1.584000e-02,1.779733e+00
1.600000e-02,1.694133e+00
1.616000e-02,1.588267e+00
1.632000e-02,1.554533e+00
1.648000e-02,1.642267e+00
1.664000e-02,1.694133e+00
1.680000e-02,1.842800e+00
1.696000e-02,1.872000e+00
1.712000e-02,1.946400e+00
1.728000e-02,2.000400e+00
1.744000e-02,2.043200e+00
1.760000e-02,2.101733e+00
1.776000e-02,2.160267e+00
1.792000e-02,2.160267e+00
1.808000e-02,2.214400e+00
1.824000e-02,2.158000e+00
1.840000e-02,2.144533e+00
1.856000e-02,2.068000e+00
1.872000e-02,2.004933e+00
1.888000e-02,1.932800e+00
1.904000e-02,1.883333e+00
1.920000e-02,1.806667e+00
1.936000e-02,1.727867e+00
1.952000e-02,1.635600e+00
1.968000e-02,1.592800e+00
1.984000e-02,1.480133e+00
2.000000e-02,1.543200e+00
2.016000e-02,1.622000e+00
2.032000e-02,1.712133e+00
2.048000e-02,1.795467e+00
2.064000e-02,1.808933e+00
2.080000e-02,1.890000e+00
2.096000e-02,1.905867e+00
2.112000e-02,1.959867e+00
2.128000e-02,2.009467e+00
2.144000e-02,2.007200e+00
2.160000e-02,2.025200e+00
2.176000e-02,2.011600e+00
2.192000e-02,2.000400e+00
2.208000e-02,1.935067e+00
2.224000e-02,1.890000e+00
2.240000e-02,1.849467e+00
2.256000e-02,1.768400e+00
2.272000e-02,1.694133e+00
2.288000e-02,1.649067e+00
2.304000e-02,1.547733e+00
2.320000e-02,1.457600e+00
2.336000e-02,1.374267e+00
2.352000e-02,1.340533e+00
2.368000e-02,1.457600e+00
2.384000e-02,1.446400e+00
2.400000e-02,1.565733e+00
2.416000e-02,1.615333e+00
2.432000e-02,1.694133e+00
2.448000e-02,1.730133e+00
2.464000e-02,1.790933e+00
2.480000e-02,1.824800e+00
2.496000e-02,1.849467e+00
2.512000e-02,1.876533e+00
2.528000e-02,1.910267e+00
2.544000e-02,1.876533e+00
2.560000e-02,1.842800e+00
2.576000e-02,1.782000e+00
2.592000e-02,1.741467e+00
2.608000e-02,1.694133e+00
2.624000e-02,1.662533e+00
2.640000e-02,1.577067e+00
2.656000e-02,1.504933e+00
2.672000e-02,1.446400e+00
2.688000e-02,1.356267e+00
2.704000e-02,1.295467e+00
2.720000e-02,1.349600e+00
2.736000e-02,1.459867e+00
2.752000e-02,1.462133e+00
2.768000e-02,1.558933e+00
2.784000e-02,1.554533e+00
2.800000e-02,1.660400e+00
2.816000e-02,1.682800e+00
2.832000e-02,1.730133e+00
2.848000e-02,1.750400e+00
2.864000e-02,1.768400e+00
2.880000e-02,1.750400e+00
2.896000e-02,1.784267e+00
2.912000e-02,1.714400e+00
2.928000e-02,1.676133e+00
2.944000e-02,1.700933e+00
2.960000e-02,1.581467e+00
2.976000e-02,1.522933e+00
2.992000e-02,1.489200e+00
3.008000e-02,1.432933e+00
3.024000e-02,1.374267e+00
3.040000e-02,1.282000e+00
